INST_NR	INST_NAVN_	POSTNR	POSTDISTRI	INST_NAVN	CVR_NR	P_NR	INST_LEDER	TELEFAX	TLF_NR	INST_ADR	VEJKODE	HUSNRBOGST	POSTBOKS	ETAGE	DOERBETEGN	AJOUR_DATO	AJOUR_BRUG	ADM_KOMMUN	ADM_KOMM_1	NEDLAGT_MN	EJER_KODE	EJER_KODE_	Min_KODE	min_KODE_T	UNDERV_NIV	OPRETTET_M	INST_TYPE_	inst_typ_1	INST_TYP_2	inst_typ_3	AKTIV_KODE	AKTIV_KO_1	INST_TYP_4	inst_typ_5	BEL_KOMMUN	BEL_KOMM_1	FLYTTE_KOD	FLYTTE_K_1	FLYTTE_INS	HOVEDSKOLE	E_MAIL	WEB_ADR	ENHEDSART	ENHEDSART_	VEJNAVN	LOKALITET	STEDNAVN	GEO_BREDDE	GEO_LAENGD	status	BEL_REGION	BEL_REGI_1	WKT_GEO
185403	NEXT_Kastrup	2770	Kastrup	NEXT Uddannelse Kõbenhavn, Kastrup	19542947	1003400886	Ole Heinager, direktõr	3586 3987	3388 0000	Brõnderslev AllÇ 25	1210	25	NA	NA	NA	22-11-2018 00:00:00	ds	NA	NA	01-11-2018 00:00:00	4	Selvejende, statslige	1	Bõrne- og Undervisningsministeriet	NA	200210	242	Tekniske skoler	1071	Erhvervsskoler m.v.	3	Nedlagt institution	99	ùvrige uddannelsesinstitutioner m.v.	185	TÜrnby Kommune	NA	NA	NA	280727	next@nextkbh.dk	www.nextkbh.dk	2	Afdeling (underordnet enhed)	Brõnderslev Alle	NA	NA	55.61790229	12.60927006	AJO	1084	Region Hovedstaden	POINT(12.6092701 55.6179023)
187000	Vallensbëk Kom	2665	Vallensbëk Strand	Vallensbëk Kommune	19583910	NA	NA	4373 0119	4797 4000	RÜdhuset, Vallensbëk Stationstorv 100	8920	100	NA	NA	NA	21-11-2019 00:00:00	HRK	187	Vallensbëk Kommune	NA	2	Kommunale	5	Social- og íldreministeriet	NA	200701	923	Kommuner pr. 1/1-2007	2013	Kommuner pr. 1/1-2007	1	Aktiv tëllingsmëssigt for Danmarks Statistik	99	ùvrige uddannelsesinstitutioner m.v.	187	Vallensbëk Kommune	NA	NA	NA	NA	kommune@vallensbaek.dk	www.vallensbaek.dk	0	Institution uden enheder	Vallensbëk Stationstorv	RÜdhuset	NA	55.624089	12.38671549	AJO	1084	Region Hovedstaden	POINT(12.3867155 55.624089)
187001	Egholmsk.	2665	Vallensbëk Strand	Egholmskolen	19583910	1003273778	Charlotte Kornmod	4373 9764	4373 2646	Egholmvej 19	1278	19	NA	NA	NA	13-11-2019 00:00:00	ds	187	Vallensbëk Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	196601	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	187	Vallensbëk Kommune	NA	NA	NA	NA	esk@vallensbaek.dk	www.egholmskolen.dk	0	Institution uden enheder	Egholmvej	NA	NA	55.62092474	12.38974902	AJO	1084	Region Hovedstaden	POINT(12.389749 55.6209247)
187002	Pilehavesk.	2625	Vallensbëk	Pilehaveskolen	19583910	1003273845	Mette Juel	4364 1941	4364 4033	Horsbred 197 A	2449	197	NA	NA	NA	09-04-2021 00:00:00	ds	187	Vallensbëk Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	196909	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	187	Vallensbëk Kommune	NA	NA	NA	NA	psk@vallensbaek.dk	pilehaveskolen.aula.dk	0	Institution uden enheder	Horsbred	NA	NA	55.65024202	12.35914801	AJO	1084	Region Hovedstaden	POINT(12.359148 55.650242)
187003	Vallensbëk Sk.	2625	Vallensbëk	Vallensbëk Skole	19583910	1003273870	Emil Bonne Kõhler	4362 2502	4362 2560	Idrëts AllÇ 5	3470	5	NA	NA	NA	09-11-2021 00:00:00	ds	187	Vallensbëk Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	195308	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	187	Vallensbëk Kommune	NA	NA	NA	NA	vsk@vallensbaek.dk	vallensbaekskole.aula.dk	0	Institution uden enheder	Idrëts Alle	NA	NA	55.63253245	12.36976676	AJO	1084	Region Hovedstaden	POINT(12.3697668 55.6325324)
187005	Gideon sk.	2665	Vallensbëk Strand	Gideonskolen	20163690	1004163094	Henrik Due Jensen	4357 0150	4357 0140	Strandesplanaden 101	7456	101	NA	NA	NA	13-11-2019 00:00:00	ds	NA	NA	NA	5	Selvejende, private	1	Bõrne- og Undervisningsministeriet	10	199708	121	Grundskoler	1013	Friskoler og private grundskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	187	Vallensbëk Kommune	1	Flyttet fra institutionsnummer i flyttet institution	161012	NA	mail@gideonskolen.dk	www.gideonskolen.dk	0	Institution uden enheder	Strandesplanaden	NA	NA	55.62422439	12.39676395	AJO	1084	Region Hovedstaden	POINT(12.396764 55.6242244)
187006	Kirkebëksk.	2625	Vallensbëk	Kirkebëkskolen	11931316	1009999678	Iben Goffmann	4366 0559	4366 0550	Klõvervënget 51	3900	51	NA	NA	NA	13-11-2019 00:00:00	ds	183	Ishõj Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	200108	126	Specialskoler for bõrn	1015	Specialskoler for bõrn	1	Aktiv tëllingsmëssigt for Danmarks Statistik	27	Skoler for svërt handicappede	187	Vallensbëk Kommune	NA	NA	NA	NA	kirkebaekskolen@ishoj.dk	www.kirkebaekskolen.dk	0	Institution uden enheder	Klõvervënget	NA	NA	55.65474628	12.36071277	AJO	1084	Region Hovedstaden	POINT(12.3607128 55.6547463)
187201	NA	2665	Vallensbëk Strand	Pëdagogisk Center	19583910	1003273808	Jette Berthelsen	4797 4102	4797 4525	Vallensbëk Stationstorv 100	8920	100	NA	NA	NA	27-11-2013 00:00:00	ds	187	Vallensbëk Kommune	01-11-2013 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	NA	NA	931	Centre for undervisningsmidler	2022	Centre for undervisningsmidler	3	Nedlagt institution	7	Center for undervisningsmidler, amtscentraler m.v.	187	Vallensbëk Kommune	NA	NA	NA	NA	vpc@vallensbaek.dk	www.vallensbaek.dk/PC	0	Institution uden enheder	Vallensbëk Stationstorv	NA	NA	55.62370997934789	12.38652471447152	AJO	1084	Region Hovedstaden	POINT(12.3865247 55.62371)
187210	Vallensb.Ungsk.	2665	Vallensbëk Strand	Vallensbëk Ungdomsskole	19583910	1003273894	Lars Elmkjër	4354 0043	4354 0055	Lundbëkvej 5	4899	5	NA	NA	NA	13-11-2019 00:00:00	ds	187	Vallensbëk Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	NA	196109	125	Kommunale ungdomsskoler	1014	Kommunale ungdomsskoler og ungdomskostskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	24	Kommunale ungdomsskoler	187	Vallensbëk Kommune	NA	NA	NA	NA	usk@vallensbaek.dk	www.valung.dk	0	Institution uden enheder	Lundbëkvej	NA	NA	55.62728824	12.36891137	AJO	1084	Region Hovedstaden	POINT(12.3689114 55.6272882)
189001	Hareskov Sk.	3500	Vërlõse	Hareskov Skole	29188327	1003274439	Claus Ibsen	7210 8801	7235 7200	Poppel Alle 6	471	6	NA	NA	NA	15-11-2018 00:00:00	ds	190	Furesõ Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	191812	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	190	Furesõ Kommune	NA	NA	NA	NA	hareskovskole@furesoe.dk	www.hareskovskole.dk	0	Institution uden enheder	Poppel Alle	NA	NA	55.765035	12.40337155	AJO	1084	Region Hovedstaden	POINT(12.4033715 55.765035)
189002	L.Vërlõse Sk.	3500	Vërlõse	Lille Vërlõse Skole	29188327	1003274294	Hans Peter Thomsen	7210 9171	7235 7300	Ryetvej 1	500	1	NA	NA	NA	13-11-2019 00:00:00	ds	190	Furesõ Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	195004	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	190	Furesõ Kommune	NA	NA	NA	NA	lillevaerloeseskole@furesoe.dk	www.lille-vaerloese.dk	0	Institution uden enheder	Ryetvej	NA	NA	55.78607059	12.36959011	AJO	1084	Region Hovedstaden	POINT(12.3695901 55.7860706)
189003	Sõndersõsk.	3500	Vërlõse	Sõndersõskolen	29188327	1003274191	Gitte Meinert	7210 8901	7235 7400	Kirke Vërlõsevej 50	333	50	NA	NA	NA	23-11-2020 00:00:00	ds	190	Furesõ Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	196908	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	190	Furesõ Kommune	NA	NA	NA	NA	sondersoskolen@Furesoe.dk	www.soendersoe-vaerloese.dk	0	Institution uden enheder	Kirke Vërlõsevej	NA	NA	55.78268612	12.3534943	AJO	1084	Region Hovedstaden	POINT(12.3534943 55.7826861)
189004	Syvstjernesk.	3500	Vërlõse	Syvstjerneskolen	29188327	1003274373	Emmeline Trautner	7235 7001	7235 7000	Skovlõbervangen 1	549	1	NA	NA	NA	21-04-2021 00:00:00	ds	190	Furesõ Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	196208	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	190	Furesõ Kommune	NA	NA	NA	NA	syvstjerneskolen@furesoe.dk	www.syvstjerneskolen.dk	0	Institution uden enheder	Skovlõbervangen	NA	NA	55.77822417	12.38105198	AJO	1084	Region Hovedstaden	POINT(12.381052 55.7782242)
189005	BaunegÜrd	3500	Vërlõse	BaunegÜrd	64942212	1003257063	Lene Benn	4435 0577	4435 0560	Bavnestedet 201	26	201	NA	NA	NA	15-11-2018 00:00:00	ds	101	Kõbenhavns Kommune	01-11-2018 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	195308	129	Dagbehandlingstilbud og behandlingshjem	1016	Dagbehandlingstilbud og behandlingshjem	3	Nedlagt institution	29	Skole- og behandlingshjem	190	Furesõ Kommune	NA	NA	NA	NA	AG6E@sof.kk.dk	cbh.kk.dk/baunegaard	0	Institution uden enheder	Bavnestedet	NA	NA	55.79750248	12.37140696	AJO	1084	Region Hovedstaden	POINT(12.371407 55.7975025)
189006	Ege Sk.	3500	Vërlõse	Egeskolen	29188327	1003274270	Leif Petersen	NA	7235 7450	Jonstrupvangvej 150D	314	150D	NA	NA	NA	07-11-2018 00:00:00	ds	190	Furesõ Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	198808	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	190	Furesõ Kommune	NA	NA	NA	NA	lep@furesoe.dk	www.egeskolen.dk	0	Institution uden enheder	Jonstrupvangvej	NA	NA	55.76039086	12.33866762	AJO	1084	Region Hovedstaden	POINT(12.3386676 55.7603909)
189210	Vërlõse Ungdsk.	3520	Farum	Furesõ Ungdomsskole	29188327	1003276959	Anette Kohring	7210 8971	7235 7600	Paltholmterrasserne 1	460	1	NA	NA	NA	15-02-2019 00:00:00	ds	190	Furesõ Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	NA	196010	125	Kommunale ungdomsskoler	1014	Kommunale ungdomsskoler og ungdomskostskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	24	Kommunale ungdomsskoler	190	Furesõ Kommune	NA	NA	NA	NA	ungdomsskole@furesoe.dk	www.ungdomsskole.dk	0	Institution uden enheder	Paltholmterrasserne	NA	NA	55.81649436	12.3779737	AJO	1084	Region Hovedstaden	POINT(12.3779737 55.8164944)
189402	Flyve. Officer	2750	Ballerup	FlyvevÜbnets Officersskole	16287180	1018507257	Peter Wass	4489 7110	4489 3010	Jonstrupvej 240	166	240	NA	NA	NA	31-05-2018 00:00:00	ds	NA	NA	NA	1	Statslige	3	Forsvarsministeriet	NA	195108	391	Officersskoler	1082	Institutioner inden for politi, forsvar m.v.	1	Aktiv tëllingsmëssigt for Danmarks Statistik	99	ùvrige uddannelsesinstitutioner m.v.	151	Ballerup Kommune	NA	NA	NA	NA	flosstab@post.tele.dk	forsvaret.dk/flos	0	Institution uden enheder	Jonstrupvej	NA	NA	55.7542202	12.34221431	AJO	1084	Region Hovedstaden	POINT(12.3422143 55.7542202)
190000	Furesõ Kommune	3500	Vërlõse	Furesõ Kommune	29188327	NA	NA	NA	7235 4000	Stiager 2	615	2	NA	NA	NA	21-11-2019 00:00:00	HRK	190	Furesõ Kommune	NA	2	Kommunale	5	Social- og íldreministeriet	NA	200701	923	Kommuner pr. 1/1-2007	2013	Kommuner pr. 1/1-2007	1	Aktiv tëllingsmëssigt for Danmarks Statistik	99	ùvrige uddannelsesinstitutioner m.v.	190	Furesõ Kommune	NA	NA	NA	NA	furesoe@furesoe.dk	www.furesoe.dk	0	Institution uden enheder	Stiager	NA	NA	55.78318745	12.37741021	AJO	1084	Region Hovedstaden	POINT(12.3774102 55.7831874)
190001	Hillerõd privat	3400	Hillerõd	Hillerõd Privatskole	30450221	1013326645	Mehmet Kutlu	4499 9003	4499 9002	Mõllestrëde 9	5791	9	NA	NA	NA	13-11-2019 00:00:00	ds	NA	NA	NA	5	Selvejende, private	1	Bõrne- og Undervisningsministeriet	9	200708	121	Grundskoler	1013	Friskoler og private grundskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	99	ùvrige uddannelsesinstitutioner m.v.	219	Hillerõd Kommune	NA	NA	NA	NA	info@hpsk.dk	www.hpsk.dk	0	Institution uden enheder	Mõllestrëde	NA	NA	55.93059545	12.2975305	AJO	1084	Region Hovedstaden	POINT(12.2975305 55.9305954)
190002	Solhjorten	3520	Farum	Solhjorten	26359007	1002555859	Michael Hõybye	NA	4495 4650	KÜlundsvej 24	372	24	NA	NA	NA	13-11-2019 00:00:00	ds	NA	NA	NA	6	Selvejende, kommunale	1	Bõrne- og Undervisningsministeriet	3	200805	129	Dagbehandlingstilbud og behandlingshjem	1016	Dagbehandlingstilbud og behandlingshjem	1	Aktiv tëllingsmëssigt for Danmarks Statistik	99	ùvrige uddannelsesinstitutioner m.v.	190	Furesõ Kommune	NA	NA	NA	NA	adm@solhjorten.dk	www.solhjorten.dk	0	Institution uden enheder	KÜlundsvej	NA	NA	55.80759307	12.35575458	AJO	1084	Region Hovedstaden	POINT(12.3557546 55.8075931)
190003	Lyngholm sk	3520	Farum	Lyngholmskolen	29188327	1003276819	Pia S. Christensen	NA	7235 7100	HvilebëkgÜrdsvej 1	279	1	NA	NA	NA	13-11-2019 00:00:00	ds	190	Furesõ Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	200908	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	99	ùvrige uddannelsesinstitutioner m.v.	190	Furesõ Kommune	NA	NA	NA	NA	lyngholmskolen@furesoe.dk	www.lyngholmskolen.dk	0	Institution uden enheder	HvilebëkgÜrdsvej	NA	NA	55.82241566	12.38922786	AJO	1084	Region Hovedstaden	POINT(12.3892279 55.8224157)
190200	NA	3520	Farum	RÜdgivning for Bõrn, Unge og Familier	29188386	1011133165	NA	NA	7235 4000	RÜdhustorvet 2	520	2	NA	NA	NA	21-11-2019 00:00:00	OC	190	Furesõ Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	NA	NA	932	Centre for Pëdagogisk og psykologisk rÜdgivning	2021	Centre for Pëdagogisk og psykologisk rÜdgivning	2	Aktiv institution medtëlles dog ikke i Danmarks Statistiks statistikker	99	ùvrige uddannelsesinstitutioner m.v.	190	Furesõ Kommune	NA	NA	NA	NA	raadgivningen@furesoe.dk	www.furesoe.dk	0	Institution uden enheder	RÜdhustorvet	NA	NA	55.81472655	12.37657411	AJO	1084	Region Hovedstaden	POINT(12.3765741 55.8147266)
201000	Allerõd Kommune	3450	Allerõd	Allerõd Kommune	60183112	NA	NA	4814 0208	4810 0100	RÜdhuset, Bjarkesvej 2	669	2	NA	NA	NA	21-11-2019 00:00:00	HRK	201	Allerõd Kommune	NA	2	Kommunale	5	Social- og íldreministeriet	NA	200701	923	Kommuner pr. 1/1-2007	2013	Kommuner pr. 1/1-2007	1	Aktiv tëllingsmëssigt for Danmarks Statistik	99	ùvrige uddannelsesinstitutioner m.v.	201	Allerõd Kommune	NA	NA	NA	NA	kommunen@alleroed.dk	www.alleroedkommune.dk	0	Institution uden enheder	Bjarkesvej	RÜdhuset	NA	55.86566515	12.32993101	AJO	1084	Region Hovedstaden	POINT(12.329931 55.8656651)
201001	Blovstrõd Sk	3450	Allerõd	Blovstrõd Skole	60183112	1003275848	Anna Recinella	4810 8889	4812 7400	Kërvej 10	4717	10	NA	NA	NA	12-05-2021 00:00:00	ds	201	Allerõd Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	193808	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	201	Allerõd Kommune	NA	NA	NA	NA	blovstrod.skole@alleroed.dk	www.blovstroedskole.dk	0	Institution uden enheder	Kërvej	NA	NA	55.86624719	12.38633021	AJO	1084	Region Hovedstaden	POINT(12.3863302 55.8662472)
201002	Lynge Sk.	3540	Lynge	Lynge Skole	60183112	1003276182	Thomas Kirkegaard	4818 7431	4812 6800	Ved Gadekëret 15	9301	15	NA	NA	NA	28-11-2019 00:00:00	ds	201	Allerõd Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	191008	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	201	Allerõd Kommune	NA	NA	NA	NA	lynge.skole@alleroed.dk	www.lyngeskole.dk	0	Institution uden enheder	Ved Gadekëret	NA	NA	55.84342007	12.28468668	AJO	1084	Region Hovedstaden	POINT(12.2846867 55.8434201)
201003	Skovvangssk.	3450	Allerõd	Skovvangskolen	60183112	1003276261	Mads Ingvardsen	4813 3201	4813 3200	Poppelvej 1 A	6378	1A	NA	NA	NA	10-07-2017 00:00:00	ds	201	Allerõd Kommune	31-07-2017 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	196908	121	Grundskoler	1012	Folkeskoler	3	Nedlagt institution	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	201	Allerõd Kommune	2	Flyttet til institutionsnummer i flyttet institution	280805	280805	skovvangskolen@alleroed.dk	www.skovvang-skolen.dk	2	Afdeling (underordnet enhed)	Poppelvej	NA	NA	55.8795366778198	12.3544736646043	AJO	1084	Region Hovedstaden	POINT(12.3544737 55.8795367)
201004	Lillerõd Sk.	3450	Allerõd	Lillerõd Skole	60183112	1003275721	Mads Ingvardsen	4817 4060	4817 2061	Frederiksborgvej 65	2092	65	NA	NA	NA	10-07-2017 00:00:00	ds	201	Allerõd Kommune	31-07-2017 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	191008	121	Grundskoler	1012	Folkeskoler	3	Nedlagt institution	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	201	Allerõd Kommune	2	Flyttet til institutionsnummer i flyttet institution	280805	280805	lilleroed.skole@alleroed.dk	www.lilleroedskole.dk	2	Afdeling (underordnet enhed)	Frederiksborgvej	NA	NA	55.87182940078671	12.345318949650723	AJO	1084	Region Hovedstaden	POINT(12.3453189 55.8718294)
201005	Kratbjergskolen	3450	Allerõd	Kratbjergskolen afd. Engholm	60183112	1003276030	Morten Winther Bothe	4814 2310	4813 0330	RÜdhusvej 5	6980	5	NA	NA	NA	07-11-2018 00:00:00	ds	201	Allerõd Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	197408	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	201	Allerõd Kommune	NA	NA	NA	280804	kratbjergskolen@alleroed.dk	www.kratbjergskolen.dk	2	Afdeling (underordnet enhed)	RÜdhusvej	NA	NA	55.86435699	12.33762752	AJO	1084	Region Hovedstaden	POINT(12.3376275 55.864357)
201006	Kratbjergskolen	3450	Allerõd	Kratbjergskolen afd. Ravnsholt	60183112	1003276157	Morten Winther Bothe	4817 0470	4817 6200	Sõparken 1	8445	1	NA	NA	NA	01-04-2019 00:00:00	ds	201	Allerõd Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	198008	121	Grundskoler	1012	Folkeskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	201	Allerõd Kommune	NA	NA	NA	280804	kratbjergskolen@alleroed.dk	www.kratbjergskolen.dk	2	Afdeling (underordnet enhed)	Sõparken	NA	NA	55.85512269	12.34343228	AJO	1084	Region Hovedstaden	POINT(12.3434323 55.8551227)
201007	Allerõd Gym	3450	Allerõd	Allerõd Gymnasium	29542929	1003274518	Anders Wind	4810 3356	4817 7555	RÜdhusvej 6	6980	6	NA	NA	NA	07-01-2021 00:00:00	ds	NA	NA	NA	4	Selvejende, statslige	1	Bõrne- og Undervisningsministeriet	NA	197808	131	Gymnasier og HF-kurser	1061	Gymnasier og HF-kurser	1	Aktiv tëllingsmëssigt for Danmarks Statistik	99	ùvrige uddannelsesinstitutioner m.v.	201	Allerõd Kommune	NA	NA	NA	NA	AllerodGymnasium@allgym.dk	www.allerodgymnasium.dk	0	Institution uden enheder	RÜdhusvej	NA	NA	55.86531032	12.33415977	AJO	1084	Region Hovedstaden	POINT(12.3341598 55.8653103)
201008	Tokkekõbsk.	3450	Allerõd	Tokkekõbskolen	60183112	1003276236	Morten Winther Bothe	4817 5601	4817 5600	Kongevejen 80 A	4418	80A	NA	NA	NA	21-07-2010 00:00:00	ds	201	Allerõd Kommune	01-08-2010 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	6	198108	126	Specialskoler for bõrn	1015	Specialskoler for bõrn	3	Nedlagt institution	23	Observations- og heldagsskoler	201	Allerõd Kommune	2	Flyttet til institutionsnummer i flyttet institution	280027	NA	tokkekobskolen@alleroed.dk	www.tokkekobskolen.dk	0	Institution uden enheder	Kongevejen	NA	NA	55.89571048581751	12.367603577462727	AJO	1084	Region Hovedstaden	POINT(12.3676036 55.8957105)
201010	Kongevejssk.	3450	Allerõd	Kongevejsskolen	60183112	1003426871	Morten Winther Bothe	4817 7802	4817 7805	Kongevejen 80 B	4418	80B	NA	NA	NA	21-07-2010 00:00:00	ds	201	Allerõd Kommune	01-08-2010 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	9	199308	126	Specialskoler for bõrn	1015	Specialskoler for bõrn	3	Nedlagt institution	23	Observations- og heldagsskoler	201	Allerõd Kommune	2	Flyttet til institutionsnummer i flyttet institution	280027	NA	kongevejsskolen@alleroed.dk	www.kongevejsskolen.dk	0	Institution uden enheder	Kongevejen	NA	NA	55.89571048581751	12.367603577462727	AJO	1084	Region Hovedstaden	POINT(12.3676036 55.8957105)
201011	Maglebjergsk.	3540	Lynge	Maglebjergskolen	60183112	1003274671	Kim Vissing Rasmussen	4816 0056	4812 7900	Kokkedalen 2	4295	2	NA	NA	NA	13-11-2019 00:00:00	ds	201	Allerõd Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	199808	126	Specialskoler for bõrn	1015	Specialskoler for bõrn	1	Aktiv tëllingsmëssigt for Danmarks Statistik	27	Skoler for svërt handicappede	201	Allerõd Kommune	1	Flyttet fra institutionsnummer i flyttet institution	205902	NA	maglebjergskolen@alleroed.dk	www.maglebjergskolen.dk	0	Institution uden enheder	Kokkedalen	NA	NA	55.845354210000004	12.28623141	AJO	1084	Region Hovedstaden	POINT(12.2862314 55.8453542)
201200	NA	3450	Allerõd	Bõrne- og familieteamet	60183112	1003276005	Hanne Thygesen	4814 5038	4810 0100	Bjarkesvej 2	669	2	NA	NA	NA	21-11-2019 00:00:00	ds	201	Allerõd Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	NA	NA	932	Centre for Pëdagogisk og psykologisk rÜdgivning	2021	Centre for Pëdagogisk og psykologisk rÜdgivning	2	Aktiv institution medtëlles dog ikke i Danmarks Statistiks statistikker	10	Center for psykologisk og pëdagogisk rÜdgivning	201	Allerõd Kommune	NA	NA	NA	NA	borneogfamilieteamet@alleroed.dk	NA	0	Institution uden enheder	Bjarkesvej	NA	NA	55.86566515	12.32993101	AJO	1084	Region Hovedstaden	POINT(12.329931 55.8656651)
201201	NA	3460	Birkerõd	UU-Sjëlsõ	31379334	1014369801	Benny Olsen	4611 4460	7268 4450	Vilhelm La Cours Vej 9	723	9	NA	NA	NA	23-12-2019 00:00:00	ds	230	Rudersdal Kommune	31-12-2019 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	NA	200409	933	Ungdommens Uddannelsesvejledning	2024	Ungdommens Uddannelsesvejledning	3	Nedlagt institution	7	Center for undervisningsmidler, amtscentraler m.v.	230	Rudersdal Kommune	NA	NA	NA	NA	adm@uu-sjaelsoe.dk	www.uu-sjaelsoe.dk	0	Institution uden enheder	Vilhelm La Cours Vej	NA	NA	55.84261552	12.43144962	AJO	1084	Region Hovedstaden	POINT(12.4314496 55.8426155)
201210	Allerõd Ungdsk.	3450	Allerõd	Allerõd Ungdomsskole	60183112	1003276042	Alex Lind-Hansen	4813 0359	4813 0339	RÜdhusvej 5	6980	5	NA	NA	NA	15-02-2019 00:00:00	ds	201	Allerõd Kommune	NA	2	Kommunale	1	Bõrne- og Undervisningsministeriet	NA	195709	125	Kommunale ungdomsskoler	1014	Kommunale ungdomsskoler og ungdomskostskoler	1	Aktiv tëllingsmëssigt for Danmarks Statistik	24	Kommunale ungdomsskoler	201	Allerõd Kommune	NA	NA	NA	NA	alleroed.ungdomsskole@alleroed.dk	www.a-u.dk	0	Institution uden enheder	RÜdhusvej	NA	NA	55.86435699	12.33762752	AJO	1084	Region Hovedstaden	POINT(12.3376275 55.864357)
205001	Sjëlsõsk.	3460	Birkerõd	Sjëlsõskolen	29188378	1003276571	Hanne Bindseil Mõller	4581 0514	4581 2000	Ravnsnësvej 120	490	120	NA	NA	NA	05-10-2020 00:00:00	ds	230	Rudersdal Kommune	01-10-2020 00:00:00	2	Kommunale	1	Bõrne- og Undervisningsministeriet	10	197308	121	Grundskoler	1012	Folkeskoler	3	Nedlagt institution	21	Folkeskoler og private skoler, fuldt Ürgangsdelte	230	Rudersdal Kommune	2	Flyttet til institutionsnummer i flyttet institution	281408	NA	sjaelsoeskolen@rudersdal.dk	NA	0	Institution uden enheder	Ravnsnësvej	NA	NA	55.85270605	12.45040872	AJO	1084	Region Hovedstaden	POINT(12.4504087 55.8527061)
